experiment_id,run_id,coop_level,risk_level,coop_value,risk_value,replication,extraction_fraction_r0,gini_r0,cooperation_score_r0,total_extraction_r0,pool_after_r0,extraction_over_capacity_r0,rounds_played,collapse_round,terminated_early
control_group_v1,cond_low_high_rep1,low,high,0.2,0.8,1,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_high_rep2,low,high,0.2,0.8,2,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_high_rep3,low,high,0.2,0.8,3,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_low_rep1,low,low,0.2,0.2,1,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_low_rep2,low,low,0.2,0.2,2,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_low_rep3,low,low,0.2,0.2,3,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_medium_rep1,low,medium,0.2,0.5,1,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_medium_rep2,low,medium,0.2,0.5,2,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_low_medium_rep3,low,medium,0.2,0.5,3,0.800000,0.000000,0.200000,48.000000,59.800000,0.480000,9,8,True
control_group_v1,cond_medium_high_rep1,medium,high,0.5,0.8,1,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_high_rep2,medium,high,0.5,0.8,2,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_high_rep3,medium,high,0.5,0.8,3,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_low_rep1,medium,low,0.5,0.2,1,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_low_rep2,medium,low,0.5,0.2,2,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_low_rep3,medium,low,0.5,0.2,3,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_medium_rep1,medium,medium,0.5,0.5,1,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_medium_rep2,medium,medium,0.5,0.5,2,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
control_group_v1,cond_medium_medium_rep3,medium,medium,0.5,0.5,3,0.500000,0.000000,0.500000,30.000000,80.500000,0.300000,15,,False
